index,user_id,sequence_item_ids,sequence_ratings,sequence_timestamps
5487,5487,"1034,578,186,1667,3208,2883,1445,2563,2000,2004","4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0","1498867200,1498867200,1498867200,1498867200,1498867200,1498867200,1498867200,1498867200,1498867200,1498867200"
2619,2619,"1580,1374,4189,3939,76,766,15,3300,2572,77,196,1203,2937,619,4046,4180,20,4284,3368,1357,4679,2224,33","5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,1.0,5.0,4.0","1515974400,1516060800,1517184000,1517184000,1517184000,1517184000,1517184000,1517184000,1517184000,1517184000,1517184000,1518480000,1518480000,1518480000,1518480000,1518566400,1518566400,1518566400,1518566400,1518566400,1518566400,1518566400,1518566400"
3678,3678,"1378,3890,2167,2419,4794","5.0,5.0,5.0,5.0,5.0","1534464000,1534464000,1534464000,1534464000,1534464000"
9440,9440,"384,1209,3247,57,4029,4325,699,2746,3472,841,1655,696,3426,3537,3981,283,1215,3133,825","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,1.0","1489104000,1489104000,1489104000,1489104000,1489104000,1489104000,1489104000,1489104000,1489104000,1489104000,1489104000,1489104000,1489104000,1489104000,1489104000,1489104000,1504828800,1504828800,1516665600"
9753,9753,"3849,2263,3880,2673,3818,4322,4324","3.0,1.0,2.0,3.0,3.0,3.0,1.0","1499731200,1499731200,1499731200,1507075200,1507075200,1515024000,1531958400"
8647,8647,"3610,1120,2087,3375,2410,1444","5.0,5.0,4.0,3.0,5.0,5.0","1455753600,1455753600,1455753600,1455753600,1455753600,1455753600"
12154,12154,"1367,3743,1297,3808,4252,4267,4308,2164,3739,2595","5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1491868800,1491868800,1491868800,1522627200,1522627200,1522627200,1522627200,1522627200,1522627200,1522627200"
1412,1412,"3810,4513,3813,2768,2149,1904,2733,1810,1905,422,2623,4189","5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0","1484092800,1484092800,1484092800,1484092800,1484092800,1499126400,1499126400,1499126400,1499126400,1527379200,1527379200,1527379200"
5731,5731,"2362,1960,2947,2100,1458,450,4165","5.0,2.0,5.0,3.0,5.0,5.0,4.0","1449705600,1454371200,1454544000,1454889600,1455062400,1455062400,1470096000"
10959,10959,"1349,542,247,2080,3,1860,359,3290,575","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1436745600,1446336000,1446336000,1451433600,1451433600,1451433600,1451433600,1473552000,1476403200"
8084,8084,"1715,383,675,2320,2476","5.0,5.0,5.0,5.0,5.0","1440547200,1440547200,1440547200,1440547200,1470960000"
3426,3426,"590,1900,1345,1357,986,1210,1385,2366,832","4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1523232000,1523232000,1532995200,1532995200,1532995200,1532995200,1532995200,1532995200,1532995200"
12543,12543,"1207,889,86,4442,135","2.0,4.0,3.0,4.0,4.0","1513209600,1513209600,1513209600,1513209600,1513209600"
11764,11764,"1053,1846,1444,1442,1843,1845,2263","3.0,1.0,2.0,3.0,2.0,2.0,4.0","1457222400,1457222400,1457222400,1457222400,1457222400,1457222400,1457222400"
1823,1823,"886,4325,1768,2213,3047","5.0,3.0,4.0,1.0,4.0","1476316800,1479859200,1479859200,1479859200,1480032000"
2277,2277,"390,2963,2379,394,1731","5.0,5.0,5.0,5.0,4.0","1480550400,1480550400,1503187200,1521417600,1521417600"
5339,5339,"317,973,2488,3267,4560","5.0,5.0,2.0,5.0,5.0","1464134400,1466380800,1478390400,1478390400,1478390400"
3579,3579,"1383,1340,3098,2738,671","1.0,5.0,3.0,5.0,5.0","1447977600,1447977600,1447977600,1447977600,1447977600"
4161,4161,"477,59,408,1066,2475,2477,4265","3.0,5.0,1.0,5.0,5.0,5.0,5.0","1431907200,1432425600,1437955200,1481500800,1509321600,1509321600,1509321600"
13031,13031,"3792,1422,705,2792,3656,804,1879,714,1971,3404,3113,1732","5.0,2.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0","1484352000,1485648000,1485648000,1485648000,1485648000,1485648000,1485648000,1485648000,1485648000,1485648000,1485648000,1485648000"
9863,9863,"406,2242,1552,1584,1150","4.0,5.0,3.0,5.0,1.0","1463529600,1463529600,1471219200,1471219200,1472515200"
10278,10278,"2069,650,363,1324,4704","4.0,5.0,5.0,5.0,5.0","1451001600,1451001600,1451001600,1459296000,1497830400"
10624,10624,"347,1044,548,1285,1711,507","3.0,3.0,5.0,4.0,5.0,4.0","1445040000,1445040000,1445040000,1445040000,1445040000,1445040000"
7531,7531,"1624,650,22,656,1725,652,2393","5.0,5.0,5.0,5.0,5.0,5.0,5.0","1442880000,1442880000,1442880000,1442880000,1442880000,1452988800,1452988800"
2348,2348,"3507,1223,2456,2996,1624,2320,2600","3.0,4.0,3.0,2.0,5.0,2.0,5.0","1455235200,1455235200,1457136000,1457136000,1457136000,1457136000,1457136000"
2678,2678,"942,1289,589,3544,538,3997,2132,1493,2850","4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0","1456617600,1456617600,1456617600,1456617600,1456617600,1461196800,1461196800,1464825600,1464825600"
10403,10403,"4309,2802,335,4697,4699,4695","5.0,5.0,5.0,5.0,5.0,5.0","1490400000,1490400000,1491436800,1528416000,1528416000,1528416000"
11985,11985,"1139,1862,1163,4413,4690","5.0,5.0,5.0,5.0,5.0","1477353600,1505347200,1505347200,1521763200,1521763200"
6791,6791,"4278,2946,2527,808,153,947","4.0,4.0,4.0,4.0,4.0,4.0","1469318400,1469318400,1469318400,1469318400,1469923200,1469923200"
6662,6662,"2273,1854,1345,1067,2063,4233","5.0,4.0,4.0,5.0,5.0,5.0","1358899200,1488844800,1489536000,1490400000,1490745600,1491177600"
3038,3038,"1039,2996,1444,2164,405,1364,1378,2023,4193,137","5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0","1461196800,1461196800,1461196800,1472083200,1472083200,1472083200,1472083200,1472083200,1472083200,1472083200"
4765,4765,"3266,708,1367,1221,401","2.0,5.0,5.0,5.0,5.0","1468627200,1468627200,1468627200,1468627200,1469664000"
2721,2721,"1831,4029,1203,15,3808,4706","5.0,5.0,5.0,5.0,5.0,5.0","1482451200,1482451200,1488240000,1488240000,1488240000,1488240000"
4831,4831,"39,523,421,745,3908,2554,4494,682,3889,3150,4084","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1483488000,1483488000,1483488000,1483488000,1483488000,1483488000,1483488000,1483488000,1483488000,1483488000,1483488000"
12224,12224,"1391,3746,1367,4627,942,2063,1401","4.0,5.0,5.0,5.0,4.0,4.0,5.0","1476921600,1476921600,1476921600,1476921600,1476921600,1476921600,1476921600"
4330,4330,"3465,1699,2281,1385,2276","5.0,5.0,5.0,5.0,5.0","1482019200,1482019200,1482019200,1482019200,1484179200"
85,85,"1408,4704,4702,4236,640,1353,3516","5.0,4.0,4.0,5.0,5.0,5.0,4.0","1519344000,1519344000,1519344000,1519344000,1519344000,1519344000,1519344000"
5835,5835,"1438,1437,2803,2743,4035,3548,4007","5.0,5.0,5.0,5.0,5.0,5.0,2.0","1448409600,1448409600,1453075200,1453420800,1467072000,1500595200,1531958400"
6015,6015,"3022,1469,1033,3833,1215,317,4437","5.0,4.0,5.0,5.0,1.0,5.0,5.0","1483142400,1483142400,1483142400,1483142400,1483142400,1483142400,1483142400"
3113,3113,"1026,1022,1667,992,2561,2431","4.0,4.0,5.0,4.0,4.0,4.0","1522713600,1523836800,1523836800,1523836800,1523836800,1523836800"
2275,2275,"2561,1894,478,560,3198,2174","5.0,5.0,5.0,5.0,5.0,5.0","1481414400,1481414400,1482192000,1482192000,1487980800,1492214400"
1669,1669,"5,3775,2744,2641,2695","5.0,5.0,5.0,2.0,5.0","1480291200,1480291200,1480291200,1480291200,1480291200"
8638,8638,"2519,949,3637,1203,1424","5.0,5.0,4.0,5.0,4.0","1477526400,1477612800,1505088000,1505088000,1505088000"
10802,10802,"3538,1261,4163,1792,1237","5.0,5.0,5.0,5.0,5.0","1532736000,1532736000,1532736000,1532736000,1532736000"
8283,8283,"383,529,441,597,1201,443,503,2948,1434,2703,1462,1405,1034,2951,596,1039,453,3495,1033,1422,2599,3937,2021,3012,591,1357,2593,3908,2038,463","5.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0","1392768000,1398124800,1431820800,1431820800,1431820800,1431820800,1442880000,1442880000,1442880000,1442880000,1444262400,1444262400,1457049600,1457049600,1457049600,1457222400,1457481600,1457481600,1457568000,1457568000,1457568000,1457740800,1458691200,1458691200,1458691200,1458950400,1458950400,1477958400,1480636800,1480636800"
5570,5570,"2639,3346,1719,4481,2849,1258,463,947","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1519689600,1519689600,1519689600,1519689600,1519689600,1519689600,1519689600,1519689600"
1612,1612,"2271,122,157,899,1240,947,707","5.0,5.0,5.0,4.0,4.0,4.0,5.0","1379376000,1404691200,1411344000,1425945600,1425945600,1425945600,1453680000"
4110,4110,"4547,3207,3209,3208,2834,310,4410,347,4292,422,478,2678,2647,302,1215,642,2561,2467","5.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0","1484870400,1484870400,1484870400,1484870400,1486425600,1486512000,1486512000,1486512000,1502668800,1502668800,1502668800,1502668800,1502668800,1502668800,1502668800,1519430400,1519430400,1519430400"
8285,8285,"696,1892,235,3836,348,695,2602,201,2696","5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,5.0","1483315200,1483315200,1483315200,1483315200,1483315200,1483315200,1483315200,1483315200,1483315200"
6372,6372,"3354,441,43,1608,3731,3355,1399,1416,2977","4.0,4.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0","1461628800,1462752000,1462752000,1463529600,1464048000,1464048000,1478908800,1478908800,1478908800"
3546,3546,"2977,2647,145,1719,293","5.0,3.0,5.0,5.0,3.0","1486684800,1487203200,1487635200,1487635200,1487635200"
4449,4449,"1328,2098,1648,99,140,138","3.0,5.0,5.0,5.0,4.0,5.0","1452297600,1453161600,1453161600,1453161600,1454112000,1454112000"
1053,1053,"522,260,467,256,89,89,53,306,149,205,345","5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0","1403308800,1411862400,1411862400,1411948800,1412380800,1412380800,1412380800,1412380800,1415059200,1431129600,1431129600"
6008,6008,"687,4163,1489,539,23","5.0,5.0,5.0,5.0,4.0","1494720000,1494720000,1494720000,1494720000,1499644800"
12155,12155,"4381,1175,3593,3838,383,2198","5.0,5.0,5.0,5.0,5.0,5.0","1510531200,1510531200,1510531200,1510531200,1510531200,1510531200"
2866,2866,"418,3551,1267,477,383,1268,1719,1211","5.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0","1512432000,1512432000,1512432000,1512432000,1512432000,1512432000,1512432000,1512432000"
7191,7191,"4374,4103,4432,1816,964,4292,666","5.0,5.0,5.0,5.0,5.0,5.0,5.0","1481846400,1481846400,1481846400,1482278400,1482278400,1482278400,1482278400"
2468,2468,"680,4459,1060,4694,3476,1661","5.0,5.0,5.0,5.0,5.0,5.0","1502928000,1502928000,1502928000,1502928000,1502928000,1502928000"
2044,2044,"233,2369,8,210,616,2647,234","5.0,4.0,5.0,5.0,4.0,5.0,5.0","1477353600,1477353600,1477353600,1477353600,1477353600,1477353600,1479168000"
9130,9130,"3191,4046,1737,3637,946,1539","5.0,3.0,5.0,5.0,5.0,5.0","1501027200,1501027200,1501027200,1501027200,1501027200,1501027200"
7690,7690,"3011,1444,107,3012,4284,46,2258","5.0,5.0,5.0,2.0,5.0,5.0,5.0","1480464000,1480464000,1480464000,1480464000,1480464000,1480464000,1480464000"
9762,9762,"2282,3082,1272,1808,3901,1665","5.0,4.0,5.0,3.0,3.0,4.0","1483660800,1483660800,1515024000,1515024000,1515024000,1515369600"
7249,7249,"2734,3004,1786,3931,4103","5.0,5.0,1.0,4.0,5.0","1489622400,1489622400,1489622400,1489622400,1501200000"
9729,9729,"1974,3991,53,3540,1123","5.0,5.0,5.0,5.0,5.0","1479772800,1479772800,1479772800,1479772800,1484179200"
7085,7085,"2075,310,347,2676,523","5.0,5.0,5.0,5.0,5.0","1511568000,1511568000,1511568000,1511568000,1518048000"
2017,2017,"4021,912,3943,3022,2288,3914,460,8,4131,2932","5.0,3.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,5.0","1496102400,1496102400,1498089600,1498176000,1498435200,1503187200,1503187200,1508630400,1528156800,1533340800"
3490,3490,"1831,538,941,892,1638,1367,3113","5.0,5.0,5.0,5.0,5.0,5.0,5.0","1495411200,1495411200,1495411200,1495411200,1495411200,1495411200,1495411200"
2466,2466,"447,533,2288,379,906,3769,3554,4273","5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0","1304553600,1419811200,1437177600,1437177600,1444348800,1470096000,1494892800,1494892800"
1385,1385,"401,911,400,908,910","5.0,5.0,5.0,5.0,5.0","1446940800,1446940800,1446940800,1446940800,1446940800"
10412,10412,"1117,1877,1796,1891,2157","5.0,5.0,5.0,5.0,5.0","1455753600,1455753600,1455753600,1455753600,1455753600"
3168,3168,"453,508,510,47,589","5.0,5.0,5.0,3.0,5.0","1429056000,1429056000,1429056000,1450396800,1476748800"
9824,9824,"467,952,574,4235,1442","5.0,4.0,4.0,4.0,4.0","1435276800,1482710400,1482710400,1482710400,1483056000"
6175,6175,"2930,3726,2618,3489,3410,4276,3133","5.0,2.0,3.0,5.0,4.0,3.0,5.0","1497052800,1497052800,1497052800,1497052800,1497052800,1497052800,1497052800"
5398,5398,"3841,1034,1203,2515,3351,3763,640,1406,4851,4873","3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1518566400,1518566400,1518566400,1518566400,1518566400,1518566400,1518566400,1518566400,1518566400,1518566400"
9713,9713,"62,1374,1114,3193,2555,4467,4498,3950,3964,4501,4489","5.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0","1425168000,1458777600,1458777600,1463011200,1463011200,1463011200,1477526400,1477526400,1491868800,1506297600,1506297600"
8953,8953,"4291,400,2777,2117,298,4513,1890,3815,3808","3.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0","1477612800,1477612800,1477612800,1479168000,1479168000,1490227200,1490227200,1490227200,1504051200"
5597,5597,"353,1151,283,33,196,1944","1.0,1.0,1.0,2.0,1.0,1.0","1510012800,1514332800,1515283200,1522281600,1524355200,1526688000"
4293,4293,"1798,2179,3008,1727,1719","5.0,5.0,5.0,5.0,5.0","1500336000,1500336000,1500336000,1500336000,1500336000"
11909,11909,"3996,2166,4291,1382,4163,383,947","5.0,5.0,5.0,2.0,5.0,5.0,5.0","1493856000,1493856000,1493856000,1493856000,1493856000,1493856000,1493856000"
11366,11366,"1831,3049,17,3943,2869,450,4122,1406,2212,1187,896,881,302,1354,950","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1480204800,1480204800,1480204800,1480204800,1480204800,1480204800,1480204800,1480204800,1480204800,1481500800,1484697600,1484697600,1489536000,1489536000,1490140800"
10394,10394,"2023,1438,1632,1441,2000,1901","5.0,5.0,5.0,5.0,5.0,5.0","1437264000,1437264000,1437264000,1437264000,1437264000,1437264000"
18,18,"1077,1105,3049,2937,339,1719,2561,154","5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0","1481587200,1481587200,1482019200,1482969600,1482969600,1482969600,1495497600,1495497600"
6324,6324,"3398,1344,4844,3230,3227","5.0,5.0,5.0,5.0,5.0","1527033600,1527033600,1527033600,1527033600,1527033600"
4693,4693,"1829,1640,1639,841,4333,3710","5.0,5.0,5.0,5.0,5.0,5.0","1490832000,1490832000,1490832000,1490832000,1490832000,1508025600"
8324,8324,"2271,4072,2937,2616,5","2.0,5.0,5.0,5.0,5.0","1425772800,1504828800,1506816000,1506816000,1509408000"
4061,4061,"2833,1163,1834,2778,3453","5.0,4.0,3.0,4.0,2.0","1459296000,1459296000,1464652800,1467504000,1506470400"
10187,10187,"422,1,2467,2467,419","5.0,5.0,3.0,4.0,3.0","1408406400,1408665600,1457481600,1501200000,1532304000"
8174,8174,"1363,3357,3893,1657,1865","5.0,5.0,5.0,5.0,5.0","1464307200,1464307200,1464307200,1464307200,1464307200"
10140,10140,"1448,31,27,128,500,2052,501,2047,248","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1441756800,1441756800,1441756800,1441756800,1441756800,1441756800,1441756800,1441756800,1441756800"
7607,7607,"327,446,231,408,355,322,288,334,1315,478,381,1067,193,495,410","4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0","1429920000,1429920000,1429920000,1429920000,1429920000,1429920000,1429920000,1429920000,1429920000,1429920000,1429920000,1429920000,1429920000,1429920000,1429920000"
7321,7321,"637,2211,4087,1140,1354,3898,3468","5.0,5.0,5.0,1.0,5.0,5.0,5.0","1477440000,1477440000,1477440000,1477440000,1477440000,1477440000,1477440000"
501,501,"530,89,123,90,319,159,122,270,3,131,37","5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0","1407628800,1425254400,1427932800,1428192000,1428624000,1428624000,1436140800,1436140800,1436140800,1436140800,1436140800"
2029,2029,"441,1210,1328,2339,1373,501,2047,1699,2289","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1442793600,1442793600,1442793600,1442793600,1442793600,1442793600,1442793600,1442793600,1442793600"
7092,7092,"3739,910,3742,2654,4648,4646,3985","5.0,5.0,3.0,5.0,5.0,5.0,5.0","1513123200,1513123200,1524700800,1524700800,1528588800,1528588800,1528588800"
6885,6885,"3589,479,478,3714,680,355,874,2847,1354,682,4163,383,1281,1077,1237,3765,1105","5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1463961600,1465603200,1465603200,1470787200,1470787200,1470787200,1472342400,1472342400,1472342400,1472342400,1482364800,1483660800,1495497600,1513296000,1513296000,1513296000,1513296000"
2822,2822,"991,2744,797,1022,1026,650,4398,406,4401,645,150","4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1466035200,1466035200,1466121600,1466121600,1467763200,1467763200,1484006400,1484006400,1484006400,1513555200,1513555200"
2281,2281,"1509,4084,2593,1357,1238","5.0,5.0,5.0,5.0,5.0","1476403200,1476403200,1476403200,1481587200,1497571200"
1568,1568,"8,1843,1833,630,1457,539,1639,841,1845,383,4069,1486,1211,2162,3544","5.0,4.0,5.0,5.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0","1445212800,1445212800,1445212800,1451174400,1451174400,1451174400,1464393600,1464393600,1464393600,1464393600,1464393600,1464393600,1464393600,1510012800,1510012800"
10066,10066,"2238,903,17,3302,4307,904,986,1640,1639,4498","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1456963200,1483056000,1483056000,1483056000,1483056000,1483056000,1483056000,1483056000,1483056000,1483056000"
9042,9042,"761,170,2059,655,2060","5.0,3.0,5.0,5.0,5.0","1484611200,1484611200,1484611200,1484611200,1484611200"
6812,6812,"3078,807,3715,2910,2908,3935,2678","5.0,5.0,5.0,3.0,5.0,5.0,5.0","1459296000,1459296000,1459296000,1459296000,1459296000,1459296000,1459296000"
343,343,"2929,221,283,181,4188,85,2564,277,4276,4163,841,4020,450","5.0,5.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0","1452902400,1452902400,1452902400,1480723200,1480723200,1480723200,1480723200,1480723200,1480723200,1480723200,1480723200,1480723200,1480723200"
4796,4796,"2102,3710,4432,1705,1268,1764,1149","5.0,5.0,5.0,5.0,5.0,5.0,5.0","1494633600,1494633600,1494633600,1494633600,1494633600,1494633600,1494633600"
797,797,"2929,681,4373,4384,693","5.0,5.0,5.0,5.0,5.0","1488153600,1488153600,1488153600,1488153600,1488153600"
11305,11305,"436,1150,3670,33,19,3145","5.0,5.0,5.0,5.0,5.0,5.0","1472947200,1472947200,1472947200,1472947200,1472947200,1472947200"
13033,13033,"354,1203,591,1396,1374","5.0,5.0,5.0,5.0,5.0","1447632000,1449532800,1451433600,1451433600,1451433600"
370,370,"2269,401,1322,1271,804,1357","5.0,5.0,5.0,5.0,3.0,5.0","1469577600,1478044800,1478044800,1478044800,1478044800,1478044800"
3361,3361,"2271,3495,1802,3496,1579,317,765,2660,1320,135","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1398556800,1449187200,1449187200,1449187200,1449187200,1455667200,1494633600,1494633600,1503446400,1521676800"
9001,9001,"3290,3770,3261,1851,481","4.0,4.0,5.0,5.0,4.0","1468886400,1468972800,1521417600,1531785600,1531785600"
7924,7924,"4084,1140,1062,909,905,4180,817,456,1455,539,903,904,550","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0","1510876800,1514505600,1514937600,1521158400,1521158400,1521158400,1521158400,1521158400,1521158400,1521158400,1521158400,1521158400,1521158400"
5591,5591,"1378,2379,1374,1281,3012","5.0,5.0,2.0,5.0,5.0","1466121600,1471132800,1471824000,1503878400,1503878400"
3803,3803,"3926,2109,2993,4038,3236,149,4069,2723,973","5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0","1466380800,1466380800,1468713600,1468713600,1475884800,1475884800,1475884800,1488758400,1505606400"
12760,12760,"1703,845,1715,4284,298","5.0,2.0,5.0,5.0,5.0","1509926400,1509926400,1509926400,1509926400,1509926400"
8092,8092,"1150,1223,3721,2159,1855,4129,4512,723,2424,479,968,1408,2786,888,4401","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1484352000,1484352000,1484352000,1484352000,1484352000,1484352000,1484352000,1484352000,1484352000,1484352000,1484352000,1484352000,1484352000,1484352000,1503619200"
1515,1515,"498,318,2273,2327,1444,176","5.0,5.0,5.0,5.0,5.0,5.0","1295827200,1357948800,1360972800,1436313600,1436313600,1491004800"
