index,user_id,sequence_item_ids,sequence_ratings,sequence_timestamps
4409,4409,"2567,1876,1661,2772,2468,1651,4200,2896,4369,3575","5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0","1418860800,1428796800,1443830400,1453420800,1458086400,1463011200,1474329600,1475971200,1475971200,1481500800"
584,584,"1136,2735,3395,3085,30,1650,1209,341,1534,863,3149,1530","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1453420800,1453420800,1453420800,1453420800,1459555200,1459555200,1459555200,1499040000,1499040000,1499040000,1526256000,1526256000"
386,386,"1972,1846,913,592,2921,1308,2114,976,1814","4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0","1442880000,1460505600,1460505600,1460505600,1460851200,1467244800,1467244800,1467590400,1482710400"
5980,5980,"1141,3575,3050,4276,2195,3210","5.0,5.0,5.0,5.0,5.0,5.0","1475539200,1477526400,1483833600,1486339200,1487980800,1501632000"
7793,7793,"167,2255,3282,3819,3843,3387,2181,2584,4230,3932,4356","5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0","1386720000,1400544000,1465344000,1465344000,1491350400,1491350400,1491350400,1491350400,1495497600,1496707200,1498521600"
7637,7637,"3167,3136,4256,3171,2898,4182","5.0,5.0,5.0,5.0,5.0,5.0","1429228800,1432080000,1484784000,1484784000,1484784000,1484870400"
3976,3976,"1853,1743,3992,3430,281,3655","5.0,5.0,5.0,4.0,5.0,5.0","1458864000,1458864000,1489017600,1491264000,1491264000,1514246400"
4615,4615,"212,2451,684,2138,2103,1016","5.0,5.0,5.0,5.0,5.0,5.0","1390089600,1390089600,1390089600,1412208000,1412208000,1412208000"
4617,4617,"88,3085,169,2443,1846,284,1251,1460,2546,542,3198","5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0","1423440000,1442793600,1450915200,1450915200,1467936000,1509667200,1511913600,1516406400,1520985600,1523836800,1528416000"
3743,3743,"3282,1463,2628,1464,1846","5.0,4.0,5.0,5.0,3.0","1465430400,1470009600,1470009600,1470009600,1475971200"
4298,4298,"342,876,2919,1059,1052,3605,1156,527,3322,364","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1249344000,1358899200,1421020800,1442188800,1459728000,1467849600,1474416000,1485043200,1523232000,1524441600"
346,346,"3497,3590,1318,776,2451,4271","5.0,5.0,3.0,5.0,5.0,5.0","1413763200,1413763200,1439856000,1488326400,1488326400,1506470400"
3931,3931,"243,666,1274,234,2305,2304,3175,1875,170,3069","4.0,5.0,5.0,5.0,4.0,2.0,2.0,5.0,2.0,5.0","1217203200,1269043200,1332288000,1340928000,1372636800,1372636800,1402963200,1433289600,1465516800,1465516800"
7461,7461,"3744,1365,4077,1337,4351","5.0,5.0,4.0,5.0,5.0","1433548800,1517443200,1521590400,1522454400,1532476800"
5338,5338,"3129,553,3130,3892,3134,3825,2501,2302","5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0","1494288000,1495152000,1499472000,1499472000,1500681600,1501977600,1501977600,1502150400"
217,217,"2411,2638,3188,4093,784","2.0,4.0,3.0,5.0,2.0","1426550400,1426550400,1455494400,1455494400,1470614400"
26,26,"2573,2212,2996,3083,2518,4000,3830,2476,1907,4085,2752","4.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,4.0","1440633600,1440633600,1440633600,1440633600,1442793600,1487116800,1490054400,1490054400,1490227200,1492041600,1508457600"
1059,1059,"4304,866,2703,1665,3724","5.0,1.0,2.0,5.0,5.0","1403827200,1477180800,1489795200,1490572800,1523404800"
4672,4672,"143,758,2270,1123,1032","5.0,5.0,5.0,5.0,5.0","1406160000,1428796800,1498348800,1501200000,1501200000"
7609,7609,"2821,4093,3627,3188,3771,3569","5.0,5.0,5.0,4.0,1.0,4.0","1450828800,1453248000,1453593600,1462233600,1478822400,1479081600"
5461,5461,"953,2494,389,3931,952,474,1232,4096","4.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0","1412726400,1412726400,1412726400,1412726400,1412726400,1412726400,1412726400,1464825600"
7703,7703,"73,1234,2570,3765,3919,946,216,4065,2617,1820,2493,2052,1102,1744,1745,951","1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1145232000,1335312000,1383955200,1445126400,1448409600,1477180800,1477180800,1479168000,1481760000,1493337600,1493337600,1504224000,1524182400,1524614400,1524614400,1524960000"
2150,2150,"656,1220,2299,1677,347,913,130,2561","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1427328000,1458950400,1458950400,1458950400,1459728000,1459728000,1459728000,1459728000"
5072,5072,"2583,3361,1049,2890,640","5.0,5.0,5.0,5.0,3.0","1452038400,1504569600,1504569600,1504569600,1511308800"
5241,5241,"2925,2430,2741,2293,2355,2447,2721","3.0,5.0,5.0,5.0,5.0,5.0,5.0","1423267200,1426982400,1426982400,1427068800,1427760000,1429920000,1434585600"
6267,6267,"1098,2770,208,1454,507,2366,2787,752,2793,207,1805,364","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1408924800,1421539200,1427155200,1427155200,1427155200,1427155200,1451606400,1451606400,1451779200,1456963200,1457308800,1457308800"
4365,4365,"3666,4080,1174,559,265,803,3958,333,813,2849,3734","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1508889600,1508889600,1508889600,1508889600,1508889600,1508889600,1508889600,1508889600,1508889600,1508889600,1508889600"
6769,6769,"2860,406,4079,3287,3156","5.0,5.0,4.0,5.0,5.0","1440892800,1507161600,1517788800,1531094400,1531094400"
5501,5501,"1632,2147,2117,1484,1336,2920,3918","5.0,5.0,1.0,4.0,4.0,4.0,3.0","1324857600,1375920000,1386115200,1391126400,1414108800,1415491200,1448323200"
3048,3048,"2134,553,2641,1669,4113,1589,3257,2664,3374,4216","3.0,5.0,5.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0","1420329600,1434585600,1437091200,1439769600,1439769600,1482192000,1482192000,1482192000,1520985600,1522886400"
3627,3627,"1146,2302,1449,2509,913","5.0,5.0,5.0,4.0,4.0","1375833600,1385251200,1417824000,1439683200,1444694400"
8417,8417,"858,1777,1771,2865,841","5.0,5.0,5.0,5.0,5.0","1424217600,1424217600,1424217600,1424217600,1424217600"
6284,6284,"2355,2331,1623,3816,4370,3129","5.0,5.0,5.0,5.0,4.0,5.0","1426118400,1426118400,1426118400,1532995200,1532995200,1532995200"
7597,7597,"1912,1456,3588,729,1218","2.0,5.0,5.0,5.0,5.0","1391817600,1463875200,1463875200,1485648000,1496448000"
4546,4546,"3319,2894,4380,4038,4194,3462","4.0,4.0,5.0,3.0,5.0,1.0","1475798400,1475798400,1494806400,1494806400,1507680000,1508025600"
7740,7740,"1792,404,4032,1586,4155,883,770,2164,4034,2270,3033,1673","5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1457568000,1458432000,1489363200,1490227200,1504137600,1511913600,1511913600,1511913600,1511913600,1513036800,1513036800,1513036800"
5055,5055,"3895,3381,3668,3669,3142,3660,3876,4222","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1482883200,1482883200,1483488000,1483488000,1483488000,1483488000,1483574400,1484092800"
3085,3085,"2234,3089,2997,2934,981","4.0,4.0,4.0,4.0,5.0","1439769600,1465171200,1465171200,1465171200,1525564800"
5378,5378,"2611,3178,2821,2873,2852,1118","3.0,3.0,5.0,4.0,5.0,5.0","1424304000,1424304000,1424304000,1424304000,1452297600,1452297600"
6415,6415,"3065,3599,3447,3461,3538,784,3133","1.0,4.0,3.0,5.0,5.0,5.0,1.0","1431561600,1472342400,1472342400,1477267200,1482969600,1485216000,1502409600"
6872,6872,"1201,1281,629,1228,1246","5.0,5.0,5.0,5.0,1.0","1365811200,1389571200,1420934400,1420934400,1432684800"
5238,5238,"3718,2545,2821,3827,2831,3944,3756,2902,2899,2895,3102,3101,1462,3412,1145,1046,2701,2896,1070,2900,2702,2903,4188,4135,365,936","5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0","1462924800,1462924800,1466553600,1470268800,1470268800,1471910400,1472083200,1472083200,1472083200,1472083200,1472083200,1472083200,1472083200,1472083200,1472256000,1472256000,1472256000,1472256000,1472256000,1472256000,1472256000,1472256000,1474502400,1480377600,1489363200,1497312000"
2453,2453,"219,221,721,1146,982,1365,1044,347","5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0","1341360000,1341360000,1384473600,1476057600,1476057600,1517529600,1523145600,1523145600"
4123,4123,"3146,4380,4014,1824,1999,3543,4318,4314,4191,3945,1626,2773","4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1506038400,1511136000,1516579200,1517443200,1517443200,1517443200,1520208000,1521072000,1521072000,1521676800,1521676800,1522454400"
8191,8191,"2027,363,814,811,816","5.0,5.0,5.0,5.0,5.0","1415750400,1415750400,1415750400,1415750400,1415750400"
102,102,"1490,3406,2639,2077,1657,2476,1533,626,1880,1123,1769,1235,858,2550,786,2549","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1476403200,1476403200,1476403200,1476403200,1476403200,1476403200,1476403200,1476403200,1476403200,1476403200,1476403200,1476403200,1476403200,1476403200,1476403200,1476403200"
2414,2414,"4200,3315,3188,3124,3126,3125,3131,3133","5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0","1463097600,1464048000,1464048000,1464048000,1464048000,1464048000,1484179200,1494028800"
8356,8356,"656,514,2804,2641,3031","3.0,4.0,5.0,3.0,1.0","1404777600,1404777600,1404777600,1423699200,1491782400"
2762,2762,"217,1650,2823,2138,720","5.0,5.0,5.0,5.0,5.0","1318032000,1398297600,1410307200,1488067200,1500336000"
6992,6992,"720,4162,2824,1967,4317,2891,2897,3130,3118,2898,3825,4153,3250,3129,2894","5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0","1467676800,1487721600,1488585600,1491523200,1515283200,1515283200,1522886400,1522886400,1522886400,1522886400,1522886400,1523836800,1523836800,1527379200,1527379200"
1801,1801,"4239,3676,2896,3124,3852,3692,503,405,3458,3126,3972","4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0","1444953600,1446768000,1447113600,1474416000,1474416000,1474416000,1475020800,1475020800,1476662400,1493424000,1504310400"
5057,5057,"2517,3243,2091,3588,3713","5.0,5.0,5.0,5.0,5.0","1408492800,1420156800,1439510400,1455753600,1523232000"
6583,6583,"3801,2578,2906,3356,4297","3.0,5.0,4.0,5.0,5.0","1476403200,1476403200,1476403200,1478908800,1505520000"
2536,2536,"1709,1924,2119,1851,3355","5.0,5.0,3.0,5.0,1.0","1360108800,1405123200,1405123200,1423526400,1458086400"
4348,4348,"2669,3009,1361,365,456,4165,394,1343,3381","5.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0","1482105600,1482105600,1482105600,1482192000,1482192000,1482192000,1482192000,1482278400,1482278400"
8404,8404,"3649,2333,2451,900,1338","5.0,2.0,5.0,5.0,2.0","1417910400,1417910400,1417910400,1417910400,1457136000"
2240,2240,"584,585,592,3120,2808","5.0,5.0,5.0,5.0,5.0","1451347200,1451347200,1451347200,1452470400,1452470400"
4115,4115,"1159,892,1122,2793,678,4330","5.0,5.0,5.0,5.0,5.0,5.0","1417910400,1467244800,1489536000,1489536000,1512086400,1518739200"
5541,5541,"151,3262,2307,2328,1911,2566","3.0,1.0,1.0,4.0,5.0,5.0","1425513600,1467417600,1508025600,1508112000,1515628800,1524268800"
3943,3943,"4042,3660,3619,2894,3797,3122,3636","2.0,4.0,5.0,2.0,3.0,4.0,5.0","1505779200,1506816000,1506816000,1506816000,1506816000,1506816000,1506816000"
6868,6868,"2339,3534,21,3745,1534","5.0,5.0,5.0,5.0,5.0","1448928000,1467763200,1489017600,1489017600,1491004800"
8156,8156,"207,1633,702,885,3337","5.0,5.0,5.0,5.0,5.0","1444780800,1444780800,1468281600,1474502400,1474502400"
2447,2447,"2492,3461,4349,4354,3127,3120,3193,3145,3133,3130,3124,3129,4242,4157,3612","1.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0","1515801600,1515801600,1515801600,1515974400,1518998400,1518998400,1518998400,1518998400,1518998400,1518998400,1518998400,1518998400,1522713600,1523318400,1533081600"
4022,4022,"3045,3046,817,813,363,814,811,2421","5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0","1470096000,1470096000,1470182400,1470182400,1470182400,1470182400,1470182400,1517961600"
1545,1545,"3131,3120,3877,3102,2875,3145,3134","5.0,4.0,3.0,3.0,3.0,4.0,5.0","1442016000,1442016000,1451001600,1451088000,1468022400,1468022400,1518566400"
4955,4955,"1920,1116,1534,122,3923","5.0,4.0,5.0,5.0,5.0","1367366400,1387065600,1456012800,1459641600,1492041600"
2722,2722,"2672,3341,4146,4263,3079,4307,3671,1662,1598","1.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,2.0","1464307200,1472083200,1491782400,1501027200,1501027200,1501027200,1516838400,1520899200,1521244800"
1014,1014,"653,387,499,1857,1371,145,992,3869,1854,441,1770,461,2243,2828,447,448,433,456,455,436,394,440,4127,317,1429","5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0","1339977600,1345593600,1345593600,1346803200,1347062400,1347926400,1347926400,1360540800,1363651200,1364688000,1373587200,1387324800,1406073600,1423612800,1426982400,1426982400,1426982400,1426982400,1426982400,1426982400,1426982400,1426982400,1489449600,1520812800,1520812800"
8159,8159,"1192,2276,3005,3041,2812,1349,2282,2484,708","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0","1421107200,1424304000,1435795200,1435795200,1435795200,1439078400,1453334400,1467417600,1502409600"
155,155,"635,208,3464,3,670,18,1469","5.0,5.0,5.0,4.0,4.0,3.0,5.0","1399593600,1425427200,1443398400,1465257600,1465257600,1465257600,1499644800"
5645,5645,"354,1106,1298,489,4047","4.0,4.0,4.0,5.0,5.0","1450137600,1450137600,1450137600,1472342400,1518912000"
6016,6016,"3550,3470,4121,4120,3459","5.0,4.0,5.0,5.0,5.0","1498089600,1498089600,1498089600,1498089600,1498089600"
5147,5147,"2033,3556,2894,2895,3935,3101","5.0,5.0,5.0,5.0,5.0,5.0","1410048000,1456531200,1462492800,1462492800,1474588800,1497916800"
4305,4305,"3575,343,1846,3203,1651,833,2468","5.0,5.0,5.0,5.0,5.0,5.0,4.0","1456272000,1456272000,1456272000,1456272000,1458864000,1459641600,1459641600"
258,258,"3007,1427,951,2497,3158","3.0,5.0,5.0,5.0,4.0","1418256000,1474243200,1474243200,1474243200,1504483200"
2810,2810,"3862,883,1487,2810,2444,2699","5.0,5.0,5.0,5.0,5.0,5.0","1452211200,1452211200,1452211200,1452211200,1454112000,1457136000"
8313,8313,"2754,1538,1724,2853,1644","4.0,4.0,4.0,4.0,5.0","1426896000,1431820800,1435881600,1435881600,1469232000"
4612,4612,"62,767,2266,2793,3837,3763,2668,3307,4125,3527,3863","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1423612800,1465776000,1468886400,1469145600,1477267200,1483228800,1485475200,1487116800,1487116800,1502755200,1519689600"
1394,1394,"266,89,2198,391,401,1564,1276,489,3279","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1387843200,1400630400,1400630400,1401062400,1401062400,1404864000,1407196800,1423180800,1516492800"
4193,4193,"2948,1244,3211,4344,4079","5.0,5.0,5.0,5.0,5.0","1414972800,1445904000,1446595200,1506556800,1528329600"
1535,1535,"2051,1291,3385,3759,1496","5.0,4.0,3.0,4.0,4.0","1364947200,1433721600,1482883200,1512432000,1512950400"
657,657,"3011,2462,1918,364,2444,1631,3453,891","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1451520000,1451520000,1451520000,1451520000,1451520000,1451520000,1524096000,1524096000"
2726,2726,"3439,2743,2900,2904,1631,3281,3394,3009,2423","3.0,3.0,5.0,5.0,5.0,1.0,3.0,4.0,5.0","1441411200,1441411200,1441411200,1441411200,1441411200,1441411200,1441411200,1441411200,1499212800"
4494,4494,"3326,951,1426,482,708,1601,1927,1289,414,4059,2006","3.0,5.0,3.0,5.0,1.0,5.0,5.0,3.0,3.0,5.0,5.0","1388016000,1389312000,1413849600,1413849600,1413849600,1430524800,1443657600,1455926400,1474243200,1476921600,1481587200"
7149,7149,"2404,3225,3759,787,4202,4165,3945","5.0,5.0,5.0,5.0,5.0,5.0,5.0","1469750400,1483747200,1483747200,1483747200,1483747200,1483747200,1483747200"
4820,4820,"1437,1435,207,365,4171","5.0,5.0,5.0,5.0,5.0","1409270400,1409270400,1413244800,1418688000,1482192000"
4960,4960,"1927,3310,4203,3699,1226,475,1298,3954,1718,2870","4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0","1491523200,1491523200,1491523200,1491523200,1512777600,1512777600,1512777600,1512777600,1512777600,1512777600"
7761,7761,"140,397,1881,3567,1661,555,845,3371,1228","2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0","1328227200,1477180800,1493856000,1509926400,1509926400,1513728000,1513728000,1513728000,1516492800"
1746,1746,"131,131,4300,2451,776","5.0,5.0,2.0,3.0,3.0","1472860800,1472947200,1494720000,1526428800,1526428800"
972,972,"1123,3033,1653,1568,1907,786,2855,1490,1673","5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0","1474329600,1474329600,1474329600,1474329600,1474329600,1474329600,1474329600,1474329600,1474329600"
6001,6001,"87,2304,2305,821,676,3971","5.0,3.0,1.0,5.0,5.0,5.0","1289865600,1372032000,1372204800,1389139200,1422144000,1462320000"
4700,4700,"1502,1426,1121,959,82,1161,517,1722,2367,2579","4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0","1431302400,1431993600,1435622400,1440115200,1440115200,1440115200,1444435200,1447113600,1447113600,1447113600"
5737,5737,"138,1053,904,702,124,1436","5.0,5.0,5.0,5.0,5.0,5.0","1453939200,1453939200,1454025600,1455321600,1455321600,1472601600"
2743,2743,"2461,2299,2802,2451,1568,3983,4294","5.0,5.0,5.0,5.0,5.0,1.0,5.0","1416182400,1440806400,1442275200,1442275200,1442275200,1468540800,1488326400"
4603,4603,"2176,413,1682,2140,882,1568,2865","5.0,5.0,5.0,4.0,5.0,5.0,5.0","1459123200,1459123200,1459123200,1466294400,1466294400,1466380800,1466985600"
4311,4311,"1187,1233,1227,1776,1607,848","5.0,4.0,5.0,1.0,5.0,4.0","1422144000,1455321600,1455321600,1455321600,1455321600,1455321600"
1126,1126,"1223,3385,819,202,2432,698,741,2863","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1388448000,1388448000,1388448000,1388448000,1438041600,1438041600,1438041600,1438041600"
1784,1784,"841,824,1773,2896,3122,3120","3.0,5.0,1.0,5.0,5.0,5.0","1404172800,1404172800,1404172800,1444780800,1473552000,1473552000"
368,368,"2821,3825,2714,3950,4054","5.0,5.0,5.0,5.0,5.0","1441670400,1483574400,1483574400,1483574400,1484697600"
8345,8345,"3858,3142,3952,3130,3829,3640","1.0,5.0,5.0,3.0,5.0,5.0","1447200000,1455926400,1459123200,1459123200,1459123200,1466985600"
3405,3405,"3890,887,2287,548,3888,2231","5.0,3.0,5.0,5.0,4.0,5.0","1456444800,1457654400,1459468800,1472947200,1476057600,1524355200"
7182,7182,"238,2048,3879,687,208,2710","2.0,4.0,3.0,5.0,5.0,5.0","1299542400,1478304000,1481068800,1481068800,1481068800,1522108800"
5951,5951,"1505,1626,2101,360,2538","5.0,5.0,5.0,5.0,5.0","1437350400,1437350400,1510790400,1510790400,1513123200"
3050,3050,"116,1501,478,205,201,1579,2464,959,2400,1846,1582,2307,710,894,1426,97","5.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0","1359590400,1363651200,1393286400,1427328000,1441324800,1441324800,1441324800,1450224000,1450224000,1452470400,1452470400,1471219200,1471564800,1471564800,1471564800,1471564800"
2284,2284,"3559,2451,776,3984,4140","5.0,5.0,5.0,5.0,5.0","1455494400,1460332800,1460332800,1486166400,1493856000"
7713,7713,"47,613,644,2794,3426,3279,1251,318","5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0","1384300800,1385337600,1388793600,1462752000,1487462400,1491523200,1495497600,1496534400"
307,307,"208,969,469,1334,482","5.0,5.0,5.0,5.0,5.0","1421884800,1483056000,1483056000,1484956800,1484956800"
1519,1519,"2368,2845,3015,951,1521,347,2976","4.0,4.0,4.0,2.0,5.0,5.0,5.0","1412812800,1418601600,1427587200,1427587200,1449446400,1468540800,1506384000"
5037,5037,"1277,1778,2507,1629,1531,3482,2468,786,1550,4127","5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0","1410307200,1427068800,1427068800,1463961600,1464048000,1464220800,1470700800,1471305600,1471910400,1509840000"
2760,2760,"456,394,1044,2367,2229,2084,3774,177,2398,4104,3954,347","5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0","1453766400,1453766400,1453766400,1459036800,1464998400,1465257600,1465516800,1475020800,1488499200,1488499200,1492992000,1520121600"
1315,1315,"1917,1819,3242,156,1923","5.0,5.0,5.0,5.0,5.0","1517356800,1517356800,1517356800,1517356800,1517356800"
321,321,"470,3040,3188,4264,3010,2462","5.0,5.0,5.0,5.0,5.0,5.0","1487376000,1487376000,1487376000,1489536000,1492473600,1492473600"
4923,4923,"538,1846,946,3482,1720","5.0,5.0,5.0,5.0,5.0","1477785600,1477785600,1481587200,1506211200,1527465600"
5272,5272,"440,436,448,447,433,455","5.0,5.0,5.0,5.0,5.0,5.0","1494201600,1494201600,1494201600,1494201600,1494201600,1494201600"
538,538,"3215,2451,798,156,2938","5.0,5.0,5.0,5.0,5.0","1361145600,1409184000,1417996800,1505692800,1524960000"
4270,4270,"4312,1307,4338,2041,3983","5.0,5.0,5.0,5.0,5.0","1471996800,1473292800,1475712000,1483920000,1491868800"
4111,4111,"207,2188,4029,1315,2637","5.0,4.0,5.0,5.0,5.0","1420934400,1420934400,1462147200,1520812800,1521158400"
8270,8270,"347,1461,3526,2080,4065","4.0,3.0,4.0,5.0,3.0","1404604800,1450828800,1477094400,1477094400,1503273600"
4772,4772,"2903,2902,2718,2744,2894,3188","5.0,5.0,5.0,4.0,5.0,5.0","1422921600,1422921600,1422921600,1422921600,1464480000,1470700800"
